"DHL Versenden","DHL Versenden"
"DHL Business Customer Shipping","DHL Geschäftskundenversand"
"General Settings","Allgemeine Einstellungen"
"Module","Modul"
"Title","Titel"
"Enabled for Checkout","Aktiviert"
"Yes","Ja"
"No","Nein"
"Sandbox Mode","Sandbox-Modus"
"Enable Logging","Protokollierung aktivieren"
"Please ensure that the Magento-Log is also activated. Data will be written to <em>dhl_versenden.log</em>.","Bitte stellen Sie sicher, dass auch das Magento-Log aktiviert ist. Die Protokollierung wird in die Datei <em>dhl_versenden.log</em> schreiben."
"Log Level","Protokollstufe"
"Beware: Log level <em>Debug</em> will result in large log files.","Achtung: <em>Debug</em>-Protokollierung erzeugt große Log-Dateien."
"Error","Error"
"Debug","Debug"
"Account Data","Stammdaten"
"Basic account data as required in production mode","Für den Produktiv-Modus erforderliche Angaben"
"User","Benutzername (User)"
"Signature","Passwort (Signature)"
"EKP","DHL Kundennummer (EKP)"
"Participation Numbers","Teilnahmenummern"
"Procedure","Verfahren"
"Participation","Teilnahme"
"DHL contract customers receive the access data to the DHL Business Customer Portal via DHL Paket sales.","Die Zugangsdaten für den Zugriff auf das DHL Geschäftskundenportal erhalten DHL Vertragskunden über den Vertrieb DHL Paket."
"The participation is 2 numerical digits from 00 to 99 or alphanumerical digits from AA to ZZ. It is allocated by DHL Sales.","Die Teilnahmenummer ist 2-stellig numerisch von 00 bis 99 oder alphanumerisch von AA bis ZZ. Sie wird vom DHL Vertrieb vergeben."
"Shipment Orders","Versandaufträge"
"Print Only If Codeable","Nur leitkodierbare Versandaufträge erteilen"
"If set to <em>Yes</em>, shipping order requests will only return a label if the DHL delivery address verification succeeds.","Ist diese Option auf <em>Ja</em> gestellt, so wird nur dann ein kostenpflichtiges Label erstellt, wenn die DHL-Adressprüfung erfolgreich ist."
"Address Validation","Adressprüfung"
"OK","OK"
"Cancel","Abbrechen"
"Weight Unit","Gewichtseinheit"
"Configure the product weight unit that is used in the Catalog.","Geben Sie die Einheit für das im Katalog verwendete Produktgewicht an."
"Grams","Gramm"
"Kilograms","Kilogramm"
"Shipping Methods for DHL Versenden","Versandarten für DHL Versenden"
"Cash On Delivery Payment Methods for DHL Versenden","Nachnahme-Zahlarten für DHL Versenden"
"Select shipping methods for rate calculation in checkout.","Wählen Sie Versandarten für die Versandkostenberechnung im Checkout."
"These shipping methods will be processed with DHL Versenden.","Diese Versandarten werden Versandaufträge bei DHL Versenden erzeugen."
"These payment methods will be treated as COD methods during shipping order requests.","Diese Zahlarten werden bei der Übermittlung von Versandaufträgen als Nachnahme-Zahlart behandelt."
